#{"t_start": 1618264023.322426, "env_id": null}
r,l,t
-0.928571,4,97.24559
1.214286,10,97.774146
-0.928571,4,98.019491
-0.857143,7,98.447373
-0.880952,6,98.812369
-0.880952,6,99.157447
-0.928571,4,99.399799
-0.809524,9,99.925427
-0.880952,6,100.279446
-0.880952,6,100.630541
-0.928571,4,100.873857
1.095238,5,101.135192
-0.904762,5,101.432365
-0.857143,7,101.85623
-0.833333,8,102.31999
-0.809524,9,102.850572
-0.904762,5,103.156753
-0.904762,5,103.451223
-0.928571,4,103.713494
-0.880952,6,104.07353
-0.928571,4,104.331466
-0.857143,7,104.75331
-0.904762,5,105.063508
-0.857143,7,105.461449
-0.857143,7,105.89426
-0.928571,4,106.137101
-0.880952,6,106.495168
-0.809524,9,107.020736
-0.809524,9,107.537384
-0.857143,7,107.964242
-0.928571,4,108.216539
-0.857143,7,108.629436
1.071429,4,108.844895
-0.928571,4,109.097214
-0.857143,7,109.51011
-0.857143,7,109.915032
-0.880952,6,110.306981
1.214286,10,110.823568
-0.904762,5,111.116783
-0.928571,4,111.357141
-0.880952,6,111.726154
1.071429,4,111.933599
-0.809524,9,112.460191
-0.904762,5,112.77535
-0.928571,4,113.029668
-0.809524,9,113.540336
-0.785714,10,114.160645
-0.833333,8,114.649366
-0.880952,6,115.01439
-0.928571,4,115.259705
-0.904762,5,115.574865
-0.809524,9,116.127385
-0.785714,10,116.732766
-0.880952,6,117.086819
-0.904762,5,117.374051
-0.833333,8,117.887577
-0.880952,6,118.247613
-0.904762,5,118.581756
-0.857143,7,119.0136
-0.857143,7,119.453458
-0.833333,8,119.937132
-0.928571,4,120.189456
-0.785714,10,120.788854
-0.928571,4,121.038187
-0.785714,10,121.603702
-0.809524,9,122.130266
-0.857143,7,126.129006
-0.833333,8,126.616676
-0.880952,6,126.964777
-0.833333,8,127.443493
1.071429,4,127.656622
-0.857143,7,128.068518
-0.904762,5,128.386668
-0.833333,8,128.891318
-0.928571,4,129.128712
-0.880952,6,129.501686
1.071429,4,129.712152
-0.928571,4,129.961489
-0.928571,4,130.207829
1.214286,10,130.743393
-0.761905,11,131.382689
-0.833333,8,131.865394
-0.880952,6,132.213435
-0.928571,4,132.471744
-0.880952,6,132.826794
-0.785714,10,133.388294
-0.857143,7,133.799194
-0.833333,8,134.258658
-0.761905,11,134.923055
-0.904762,5,135.22328
-0.880952,6,135.591298
-0.880952,6,135.956477
-0.904762,5,136.287599
-0.928571,4,136.536981
-0.833333,8,137.15433
-0.880952,6,137.579701
-0.928571,4,137.828513
-0.880952,6,138.334162
-0.833333,8,138.85576
-0.857143,7,139.415016
-0.904762,5,139.743141
-0.904762,5,140.062285
-0.880952,6,140.43746
-0.904762,5,140.743304
-0.857143,7,141.185118
-0.761905,11,141.854822
-0.928571,4,142.125385
-0.809524,9,142.679373
-0.880952,6,143.040437
-0.857143,7,143.452732
-0.833333,8,143.931756
-0.880952,6,144.314736
-0.928571,4,144.575012
-0.928571,4,144.846315
-0.904762,5,145.146077
1.071429,4,145.345605
-0.928571,4,145.61113
-0.738095,12,146.38504
-0.833333,8,146.855375
-0.857143,7,147.280169
-0.857143,7,147.729995
-0.761905,11,148.374311
-0.833333,8,148.873978
-0.928571,4,149.127295
-0.880952,6,149.491345
-0.904762,5,149.797502
-0.785714,10,150.387455
-0.857143,7,150.815339
-0.928571,4,151.074644
-0.833333,8,151.540371
-0.809524,9,152.065763
-0.880952,6,152.418819
-0.928571,4,152.669148
-0.928571,4,152.913524
-0.833333,8,153.387244
1.071429,4,153.597667
-0.928571,4,153.842012
-0.833333,8,154.311756
-0.880952,6,154.666842
-0.738095,12,155.360978
-0.857143,7,155.768891
-0.785714,10,156.377233
-0.928571,4,156.618587
-0.904762,5,156.918785
-0.928571,4,157.186096
-0.880952,6,157.545327
-0.857143,7,157.94823
-0.928571,4,158.210096
-0.809524,9,158.78456
-0.785714,10,159.377009
-0.714286,13,160.113009
-0.857143,7,160.543882
-0.690476,14,161.332243
-0.833333,8,161.84188
-0.880952,6,162.195347
-0.857143,7,162.620185
-0.785714,10,163.209844
1.071429,4,163.409284
-0.904762,5,163.701503
-0.857143,7,164.125369
-0.761905,11,164.770644
-0.928571,4,165.026987
-0.880952,6,165.36708
-0.904762,5,165.664254
-0.904762,5,165.971434
-0.857143,7,166.382364
-0.928571,4,166.628705
-0.928571,4,166.871037
-0.904762,5,167.168047
-0.857143,7,167.57399
1.166667,8,167.993868
-0.785714,10,168.590269
-0.857143,7,169.017414
1.190476,9,169.500128
-0.904762,5,169.793523
-9.666667,15,170.551496
-0.880952,6,170.901559
-0.857143,7,171.309165
-0.928571,4,171.546505
-0.809524,9,172.074094
-0.809524,9,172.586905
-0.809524,9,173.116523
-0.857143,7,173.524247
-0.833333,8,173.997949
-0.904762,5,174.34203
1.071429,4,174.543491
