#{"t_start": 1618268456.6685603, "env_id": null}
r,l,t
-0.833333,8,137.446939
-0.833333,8,137.9107
-0.809524,9,138.429317
-0.904762,5,138.726494
-0.904762,5,139.028692
-0.880952,6,139.381768
-0.857143,7,139.799619
-0.857143,7,140.202542
1.071429,4,140.395057
-0.928571,4,140.661317
1.071429,4,140.91566
-0.809524,9,141.446433
-0.857143,7,141.861322
1.119048,6,142.185489
-0.904762,5,142.489675
1.071429,4,142.686117
-0.904762,5,143.005294
-0.857143,7,143.438106
-0.857143,7,143.840067
-0.833333,8,144.311771
-0.880952,6,144.674824
-0.904762,5,144.98098
-0.833333,8,145.446764
-0.809524,9,145.955375
1.071429,4,146.144868
-0.833333,8,146.606883
-0.833333,8,147.095374
-0.880952,6,147.448071
-0.904762,5,147.743308
-0.880952,6,148.094342
-0.738095,12,148.755259
-0.928571,4,149.005615
-0.857143,7,149.418485
-0.880952,6,149.782545
-0.880952,6,150.144543
1.071429,4,150.349994
-0.904762,5,150.655178
-0.904762,5,150.954378
-0.809524,9,151.490944
-0.857143,7,151.897881
1.071429,4,152.096324
-0.857143,7,152.50438
1.071429,4,152.702822
-0.904762,5,153.011998
-0.833333,8,153.493706
-0.833333,8,153.951481
-0.833333,8,154.423368
-0.904762,5,154.732542
1.071429,4,154.93101
-0.904762,5,155.229239
1.142857,7,155.591271
1.190476,9,156.062011
-0.928571,4,156.309336
-0.880952,6,156.699284
1.071429,4,156.897191
-0.880952,6,157.245097
-0.833333,8,157.725437
1.214286,10,158.242062
-0.833333,8,158.716785
1.214286,10,159.267311
-0.833333,8,159.728113
-0.880952,6,160.069167
-0.785714,10,160.631691
-0.809524,9,161.15529
1.071429,4,161.358719
-0.928571,4,161.60506
-0.857143,7,162.012998
-0.857143,7,162.440974
-0.857143,7,162.844957
-0.904762,5,166.59852
-0.833333,8,167.067266
-0.880952,6,167.411379
-0.880952,6,167.759415
-0.880952,6,168.097538
1.071429,4,168.293996
1.071429,4,168.493453
-0.904762,5,168.817586
-0.928571,4,169.098861
1.071429,4,169.307278
-0.857143,7,169.730644
-0.904762,5,170.027709
-0.785714,10,170.618129
1.142857,7,171.019058
1.071429,4,171.228497
1.190476,9,171.70223
1.071429,4,171.902716
-0.904762,5,172.199899
1.071429,4,172.39039
-0.857143,7,172.827254
-0.880952,6,173.174294
-0.857143,7,173.573978
-0.928571,4,173.816359
-0.880952,6,174.161441
-0.833333,8,174.620663
-0.761905,11,175.256962
-0.833333,8,175.707757
-0.904762,5,176.002967
-0.857143,7,176.418854
-0.928571,4,176.657217
-0.880952,6,177.02723
1.071429,4,177.21875
-0.904762,5,177.538887
-0.904762,5,177.824097
-0.928571,4,178.074438
-0.809524,9,178.618968
-0.857143,7,179.044827
1.071429,4,179.248314
-0.880952,6,179.610319
-0.928571,4,179.845717
-0.904762,5,180.154859
-0.809524,9,180.707072
-0.833333,8,181.174801
-0.833333,8,181.630077
-0.785714,10,182.191541
1.238095,11,182.782959
-0.857143,7,183.210023
-0.928571,4,183.457395
-0.880952,6,183.799477
-0.785714,10,184.383909
-0.857143,7,184.789798
-0.880952,6,185.150833
-0.857143,7,185.571734
1.214286,10,186.075361
1.071429,4,186.283666
1.071429,4,186.476152
-0.857143,7,186.889047
-0.833333,8,187.372754
-0.880952,6,187.740771
-0.809524,9,188.271379
-0.833333,8,188.747267
1.071429,4,188.942717
-0.833333,8,189.420467
1.071429,4,189.615944
-0.833333,8,190.073703
-0.857143,7,190.479633
-0.833333,8,190.943393
1.238095,11,191.531816
-0.809524,9,192.053098
-0.904762,5,192.350276
1.071429,4,192.543759
-0.880952,6,192.933719
1.071429,4,193.128231
1.071429,4,193.323673
-0.761905,11,193.994878
1.214286,10,194.52546
-0.857143,7,194.944346
1.071429,4,195.145836
1.071429,4,195.352283
1.071429,4,195.548755
1.071429,4,195.748224
-0.785714,10,196.317694
1.214286,10,196.85327
-0.880952,6,197.211285
-0.857143,7,197.621214
-0.880952,6,197.971281
-0.928571,4,198.217594
-0.904762,5,198.513831
-0.833333,8,198.981735
1.071429,4,199.184695
1.071429,4,199.379175
-0.880952,6,199.727244
1.071429,4,199.910753
-0.880952,6,200.285751
-0.880952,6,200.640801
1.071429,4,200.840268
-0.904762,5,201.139468
-0.904762,5,201.429692
-0.809524,9,201.953291
-0.833333,8,202.40511
-0.738095,12,203.095239
-0.833333,8,203.561989
1.190476,9,204.030737
1.071429,4,204.2422
-0.880952,6,204.598247
1.071429,4,204.79871
1.071429,4,204.997152
1.071429,4,205.196618
1.119048,6,205.498985
-0.833333,8,205.947795
-0.761905,11,206.564149
-0.833333,8,207.048851
-0.928571,4,207.29217
-0.833333,8,207.755502
-0.857143,7,208.166393
-0.904762,5,208.48252
-0.761905,11,209.137768
1.214286,10,209.680346
-0.785714,10,210.248805
1.071429,4,210.452253
-0.928571,4,210.710563
-0.857143,7,211.123458
-0.880952,6,211.483495
-0.857143,7,211.865474
-0.880952,6,212.217534
-9.761905,11,212.787017
-0.857143,7,213.203928
-0.857143,7,213.615793
-0.857143,7,214.013729
-0.785714,10,214.605767
-0.928571,4,214.864043
-0.928571,4,215.160251
-0.761905,11,215.792559
-0.880952,6,216.137636
-0.880952,6,216.486703
-0.857143,7,216.887302
1.071429,4,217.093778
-0.857143,7,217.515752
-0.857143,7,217.911885
-0.880952,6,218.261945
-0.761905,11,218.895251
-0.714286,13,219.636793
-0.857143,7,220.031738
-0.880952,6,220.387813
-0.904762,5,220.687983
-0.857143,7,221.115838
1.071429,4,221.311315
-0.785714,10,221.880792
-0.880952,6,222.25579
-0.833333,8,222.743486
-0.833333,8,223.218216
-0.880952,6,223.576287
1.071429,4,223.77074
