#{"t_start": 1618295649.2165358, "env_id": null}
r,l,t
-0.833333,8,2.148256
-0.785714,10,2.832425
-9.738095,12,3.580425
-0.880952,6,4.096077
-0.857143,7,4.601726
-0.904762,5,4.963728
-0.880952,6,5.955075
-0.785714,10,6.708061
-0.785714,10,7.495982
-0.833333,8,7.989641
-0.833333,8,8.670813
1.071429,4,8.957047
-0.785714,10,9.561432
1.071429,4,9.776871
-0.880952,6,10.169834
-0.904762,5,10.480972
-0.880952,6,10.85002
-0.904762,5,11.165149
-0.880952,6,11.543164
1.071429,4,11.757586
-0.880952,6,12.14046
-0.904762,5,12.452625
1.214286,10,13.011133
-0.809524,9,13.538721
-0.857143,7,13.960593
1.190476,9,14.454299
-0.880952,6,14.819296
-0.809524,9,15.350875
-0.904762,5,15.661072
1.071429,4,15.871573
1.166667,8,16.300428
1.071429,4,16.511861
-0.904762,5,16.813056
1.071429,4,17.020529
1.071429,4,17.275818
-0.857143,7,17.751523
-0.833333,8,18.317014
-0.809524,9,18.944333
1.142857,7,19.450979
1.214286,10,20.221943
-0.833333,8,20.724572
-0.857143,7,21.167015
-0.928571,4,21.409361
1.214286,10,21.957864
-0.857143,7,22.402676
-0.833333,8,22.896384
1.071429,4,23.118761
1.214286,10,23.667316
1.071429,4,23.890708
-0.857143,7,24.340522
1.071429,4,24.546944
-0.833333,8,25.046915
-0.880952,6,25.417953
1.071429,4,25.62534
-0.880952,6,26.021253
-0.833333,8,26.502991
-0.880952,6,26.87896
-0.880952,6,27.244981
-0.833333,8,27.736665
-0.928571,4,27.99205
-0.857143,7,28.43287
1.071429,4,28.635331
-0.857143,7,29.06821
-0.880952,6,29.46415
1.071429,4,29.706531
-0.904762,5,30.028641
-0.857143,7,30.648982
-0.928571,4,31.126705
-0.857143,7,31.841793
-0.833333,8,32.386348
-0.857143,7,32.845139
-0.880952,6,33.223098
-0.904762,5,33.550224
1.071429,4,33.756671
1.166667,8,34.213481
-0.904762,5,34.537611
-0.880952,6,34.933524
-0.833333,8,35.413242
-0.833333,8,35.908917
-0.880952,6,36.281921
-0.928571,4,36.550202
-0.809524,9,37.091754
-0.785714,10,37.69288
-0.857143,7,38.127688
-0.857143,7,38.566689
-0.880952,6,38.932444
-0.857143,7,39.344369
-0.904762,5,39.653515
-0.904762,5,39.980641
-0.928571,4,40.238976
1.071429,4,40.513218
-0.928571,4,40.795461
-0.785714,10,41.457706
-0.880952,6,41.937409
1.071429,4,42.218656
-0.880952,6,42.650532
-0.785714,10,43.289792
-0.857143,7,43.713658
-0.880952,6,44.078971
-0.809524,9,44.661415
-0.857143,7,45.213908
1.166667,8,45.736528
-0.857143,7,46.169353
1.071429,4,46.369846
1.214286,10,46.925333
1.071429,4,47.138775
1.071429,4,47.346206
1.071429,4,47.555647
-0.857143,7,47.985523
-0.857143,7,48.426337
1.214286,10,49.002777
-0.880952,6,49.40969
1.071429,4,49.646057
-0.785714,10,50.291988
1.071429,4,50.522373
1.071429,4,50.744777
-0.809524,9,51.335197
1.071429,4,51.569572
-0.833333,8,52.123111
1.214286,10,52.736452
1.071429,4,52.974813
-0.857143,7,53.425608
-0.904762,5,53.738771
-0.880952,6,54.137681
1.071429,4,54.356097
1.071429,4,54.580498
-0.880952,6,54.981427
-0.880952,6,55.369388
1.166667,8,55.824172
1.071429,4,56.04162
1.119048,6,56.385671
-0.857143,7,56.835486
-0.904762,5,57.177553
-0.833333,8,57.704146
-0.880952,6,58.10607
-0.904762,5,58.507995
-0.880952,6,58.957804
-0.880952,6,59.39263
-0.904762,5,59.752693
1.071429,4,59.983051
1.071429,4,60.220417
-0.761905,11,60.952459
-0.880952,6,61.333804
-0.880952,6,61.761664
-0.880952,6,62.15062
1.071429,4,62.369036
-0.809524,9,62.978415
-0.857143,7,63.463111
1.071429,4,63.668561
1.095238,5,63.97175
-0.833333,8,64.563169
-0.857143,7,65.107712
1.214286,10,65.808837
-0.833333,8,66.383301
-0.809524,9,66.995761
-0.880952,6,67.411647
-9.785714,10,68.049269
-0.833333,8,68.638237
-0.904762,5,69.043155
-0.833333,8,69.61863
-0.928571,4,69.910847
-0.880952,6,70.321735
-0.904762,5,70.700723
-0.904762,5,71.081705
-0.785714,10,71.769865
-0.928571,4,72.038174
-0.833333,8,72.50692
-0.857143,7,72.918791
1.071429,4,73.122273
-0.880952,6,73.459373
1.214286,10,74.101657
1.166667,8,74.550429
1.071429,4,74.75887
-0.928571,4,75.007206
-0.928571,4,75.305408
-0.857143,7,75.73227
1.166667,8,76.15414
1.071429,4,76.355601
-0.738095,12,77.039771
-0.809524,9,77.609282
-0.785714,10,78.2007
-0.904762,5,78.505879
-0.904762,5,78.825994
1.166667,8,79.251883
-0.880952,6,79.620898
-0.928571,4,79.886187
-0.904762,5,80.192371
1.214286,10,80.738906
-0.928571,4,81.012148
-0.833333,8,81.473913
-0.928571,4,81.715298
-0.880952,6,82.07331
-9.714286,13,82.776168
-0.880952,6,83.144217
-0.785714,10,83.714659
-0.928571,4,83.963993
-0.880952,6,84.316052
