#{"t_start": 1618267526.1353178, "env_id": null}
r,l,t
-0.857143,7,1.657203
-0.785714,10,2.305439
-0.857143,7,2.755155
1.071429,4,2.969579
-0.928571,4,3.234534
-0.880952,6,3.615055
-0.880952,6,4.003013
-0.809524,9,4.558933
-0.880952,6,4.931093
-0.833333,8,5.438816
-0.833333,8,5.916564
-0.785714,10,6.4914
-0.904762,5,6.79456
1.071429,4,7.015968
1.071429,4,7.22142
-0.880952,6,7.588981
1.071429,4,7.783468
1.071429,4,7.995892
1.071429,4,8.198571
-0.928571,4,8.436911
-0.880952,6,8.789966
-0.928571,4,9.03391
1.071429,4,9.247078
-0.857143,7,9.662589
-0.904762,5,9.960793
-0.785714,10,10.594087
-0.904762,5,10.895318
-0.880952,6,11.314199
-0.904762,5,11.664262
1.071429,4,11.88966
-0.880952,6,12.248919
-0.904762,5,12.566159
-0.904762,5,12.89027
1.190476,9,13.358012
-0.928571,4,13.600363
1.071429,4,13.801852
-0.809524,9,14.341414
-0.857143,7,14.776219
-0.833333,8,15.252946
-0.809524,9,15.807348
-0.857143,7,16.286043
-0.809524,9,16.891423
1.071429,4,17.096901
-0.880952,6,17.484865
-0.785714,10,18.101215
-0.833333,8,18.572956
-0.880952,6,18.955082
-0.809524,9,19.482699
-0.809524,9,20.045192
-0.809524,9,20.580736
-0.809524,9,21.112313
1.071429,4,21.31876
-0.809524,9,21.889253
-0.833333,8,22.361322
-0.785714,10,22.942734
1.071429,4,23.152204
-0.690476,14,23.938821
-0.857143,7,24.348758
-0.833333,8,24.835424
-0.880952,6,25.212415
-0.809524,9,25.792863
-0.880952,6,26.151937
-0.880952,6,26.524325
1.071429,4,26.742771
-0.880952,6,27.112782
1.261905,12,27.817895
-0.833333,8,28.342492
-0.928571,4,28.589836
-0.904762,5,28.895983
-0.904762,5,29.315861
1.071429,4,29.617063
1.190476,9,30.140172
1.095238,5,30.421445
-0.833333,8,30.96559
-0.857143,7,31.454841
-0.761905,11,32.157971
-0.809524,9,32.738532
-0.880952,6,33.141519
-0.928571,4,33.436702
-0.809524,9,34.027152
-0.857143,7,34.477576
-0.857143,7,34.942386
-0.809524,9,35.595176
-0.833333,8,36.105098
-0.928571,4,36.36939
-0.857143,7,36.812235
1.071429,4,37.056117
1.071429,4,37.295537
1.071429,4,37.521907
-0.833333,8,38.049004
-0.928571,4,38.312325
-0.857143,7,38.812454
-0.857143,7,39.322828
-0.785714,10,40.051853
-0.833333,8,40.555509
-0.857143,7,41.107323
-0.904762,5,41.511241
-0.880952,6,41.926456
1.071429,4,42.189756
1.071429,4,42.437095
-0.809524,9,43.12328
1.214286,10,43.801373
1.071429,4,44.074642
-0.904762,5,44.43683
-0.857143,7,44.941726
1.166667,8,45.46438
1.071429,4,45.740154
1.071429,4,45.975551
-0.857143,7,46.504319
1.071429,4,46.728225
-0.904762,5,47.118214
-0.833333,8,47.723274
1.071429,4,47.967601
1.071429,4,48.196023
1.071429,4,48.447214
-0.714286,13,49.402649
1.071429,4,49.666876
-0.833333,8,50.260252
1.071429,4,50.494606
-0.880952,6,50.934458
-0.880952,6,51.32517
-0.880952,6,51.714279
1.071429,4,51.92792
-0.904762,5,52.259522
-0.857143,7,52.715331
-0.880952,6,53.107818
-0.880952,6,53.508288
-0.904762,5,53.833871
-0.928571,4,54.105147
-0.761905,11,54.779912
-0.880952,6,55.189658
-0.904762,5,55.528807
1.071429,4,55.758201
-0.857143,7,56.229905
-0.880952,6,56.601041
1.071429,4,56.812507
-0.857143,7,57.264795
-0.880952,6,57.653755
-0.833333,8,58.158442
1.071429,4,58.367365
-0.880952,6,58.799189
1.071429,4,59.029602
1.071429,4,59.256997
-0.833333,8,59.782854
-0.880952,6,60.184925
1.071429,4,60.405336
-0.738095,12,61.156919
-0.738095,12,61.931025
-0.880952,6,62.324509
-0.833333,8,62.840128
-0.904762,5,63.167326
-0.833333,8,63.682323
1.214286,10,64.260774
-0.857143,7,64.715235
-0.809524,9,65.30686
-0.833333,8,65.818473
1.071429,4,66.025938
-0.880952,6,66.427907
1.190476,9,66.946607
1.238095,11,67.592879
-0.833333,8,68.101423
-0.809524,9,68.672922
-0.928571,4,68.937203
-0.880952,6,69.342116
1.071429,4,69.592418
-0.809524,9,70.14809
1.071429,4,70.360493
-0.880952,6,70.753485
1.071429,4,70.967923
-0.809524,9,71.534974
-0.880952,6,71.922992
-0.928571,4,72.179283
1.214286,10,72.741902
-0.904762,5,73.058056
-0.857143,7,73.498906
-0.785714,10,74.207722
-0.904762,5,74.526965
-0.857143,7,74.978055
1.190476,9,75.489724
1.071429,4,75.701149
-0.904762,5,76.024944
-0.880952,6,76.40792
1.071429,4,76.624371
1.071429,4,76.841395
1.071429,4,77.0538
-0.761905,11,77.741192
1.071429,4,77.955649
-0.857143,7,78.38504
-0.880952,6,78.764802
-0.833333,8,79.26596
-0.880952,6,79.648966
-0.785714,10,80.278852
-0.761905,11,80.968558
-0.904762,5,81.298702
-0.880952,6,81.692154
-0.857143,7,82.130511
1.071429,4,82.347973
-0.833333,8,82.848667
1.071429,4,83.066053
-0.928571,4,83.331911
1.071429,4,83.547337
1.214286,10,84.108946
-0.857143,7,84.544756
-0.857143,7,84.989599
