#{"t_start": 1618261742.3596263, "env_id": null}
r,l,t
1.357143,16,3.333935
-9.738095,12,3.605211
-9.738095,12,3.854544
-9.642857,16,4.151781
1.261905,12,4.37216
1.142857,7,4.507798
-0.761905,11,4.745191
-0.857143,7,4.912714
-9.785714,10,5.104939
-0.833333,8,5.258745
1.119048,6,5.371433
-0.809524,9,5.550936
-9.714286,13,5.7893
1.238095,11,5.982783
-9.785714,10,6.158313
-0.785714,10,6.346873
1.238095,11,6.557229
-9.619048,17,6.847797
-9.595238,18,7.158988
1.214286,10,7.339189
1.119048,6,7.456877
1.214286,10,7.653322
1.357143,16,7.936319
1.309524,14,8.195657
-9.642857,16,8.480415
1.095238,5,8.5891
-9.666667,15,8.85439
-9.714286,13,9.081812
-0.833333,8,9.236425
-0.761905,11,9.47872
1.190476,9,9.644633
-9.761905,11,9.845277
-9.714286,13,10.097164
-0.833333,8,10.273664
-0.857143,7,10.430245
1.238095,11,10.641679
-0.809524,9,10.832197
1.119048,6,10.971226
1.190476,9,11.148765
1.119048,6,11.273431
-9.785714,10,11.448931
1.285714,13,11.690848
-9.738095,12,11.910235
1.238095,11,12.12466
1.285714,13,12.36761
-0.880952,6,12.495256
1.190476,9,12.655768
-9.714286,13,12.881903
-0.690476,14,13.146527
1.166667,8,13.297096
1.309524,14,13.544459
-9.619048,17,13.827706
1.238095,11,14.039113
1.095238,5,14.191705
-9.785714,10,14.382256
1.190476,9,14.561287
-9.785714,10,14.733796
-9.761905,11,14.938004
1.261905,12,15.151437
1.190476,9,15.318986
-9.738095,12,15.522442
-9.880952,6,15.625165
1.190476,9,15.778755
-0.833333,8,15.928354
1.214286,10,16.101923
-9.833333,8,16.247503
1.071429,4,16.324329
-9.761905,11,16.501317
-0.666667,15,16.763614
-0.761905,11,16.965076
-0.928571,4,17.057859
1.095238,5,17.155595
-0.857143,7,17.30018
-0.666667,15,17.570458
1.119048,6,17.686182
1.142857,7,17.817812
1.238095,11,18.008286
-9.690476,14,18.239681
-9.761905,11,18.431156
1.285714,13,18.64658
1.095238,5,18.740356
1.309524,14,18.99465
1.238095,11,19.20509
-0.833333,8,19.364467
-0.761905,11,19.564934
1.261905,12,19.800264
1.309524,14,20.060568
1.285714,13,20.287958
1.166667,8,20.42559
-0.833333,8,20.57519
-9.690476,14,20.7986
-9.642857,16,21.070866
-0.928571,4,21.156635
1.214286,10,21.332531
-0.690476,14,21.568901
-9.666667,15,21.811276
-0.714286,13,22.054599
-9.738095,12,22.274014
1.214286,10,22.458549
-9.642857,16,22.729822
1.190476,9,22.882806
1.166667,8,23.025432
-9.642857,16,23.308642
-0.785714,10,23.490184
1.071429,4,23.572965
1.190476,9,23.73952
1.119048,6,23.851202
-9.785714,10,24.023729
-0.880952,6,24.147398
1.238095,11,24.342904
1.261905,12,24.555308
1.119048,6,24.665016
1.166667,8,24.815613
1.309524,14,25.068935
-0.738095,12,25.297336
-0.833333,8,25.440945
1.214286,10,25.620437
1.166667,8,25.762942
-9.714286,13,25.97833
1.095238,5,26.073105
-0.738095,12,26.305467
1.214286,10,26.483978
-0.880952,6,26.599668
1.309524,14,26.841023
-9.690476,14,27.06642
1.071429,4,27.144212
1.333333,15,27.407508
1.095238,5,27.4973
1.119048,6,27.608997
-0.928571,4,27.691748
1.309524,14,27.938091
1.333333,15,28.196425
-0.809524,9,28.366782
-9.738095,12,28.562255
-9.666667,15,28.808604
-0.857143,7,28.946737
1.214286,10,29.123301
-0.738095,12,29.355641
1.095238,5,29.456397
-0.928571,4,29.540176
1.214286,10,29.717672
-0.809524,9,29.880266
-9.690476,14,30.116607
-0.857143,7,30.246259
-9.52381,21,30.591714
-0.928571,4,30.681473
-0.642857,16,30.976683
-9.809524,9,31.136291
-9.761905,11,31.328743
1.309524,14,31.588048
1.238095,11,31.780549
-9.738095,12,31.995985
1.309524,14,32.232352
1.380952,17,32.530107
-0.690476,14,32.778473
1.190476,9,32.944001
-9.666667,15,33.193223
