#{"t_start": 1618298544.381495, "env_id": null}
r,l,t
-0.857143,7,1.553952
-0.809524,9,2.065576
1.071429,4,2.270028
1.071429,4,2.47248
-0.833333,8,2.94461
-0.809524,9,3.469984
-0.904762,5,3.766186
1.119048,6,4.072362
-0.857143,7,4.506202
-0.857143,7,4.943031
-0.880952,6,5.312023
-0.880952,6,5.661076
1.071429,4,5.858539
-0.833333,8,6.312982
1.190476,9,6.785707
-0.904762,5,7.088892
-0.880952,6,7.442938
1.190476,9,7.92543
1.071429,4,8.111254
-0.880952,6,8.452645
-0.880952,6,8.800712
-0.904762,5,9.095893
-0.928571,4,9.368184
1.071429,4,9.589556
1.166667,8,10.054339
-0.809524,9,10.572804
-0.833333,8,11.038549
-9.738095,12,11.733678
-0.809524,9,12.278213
1.214286,10,12.816763
1.071429,4,13.023207
1.071429,4,13.227657
-0.857143,7,13.666476
-0.880952,6,14.030496
1.071429,4,14.248925
-0.880952,6,14.625921
1.071429,4,14.841313
-0.761905,11,15.526674
-0.880952,6,15.898523
-0.809524,9,16.440092
-0.833333,8,16.944707
-0.809524,9,17.507332
-0.785714,10,18.118686
1.142857,7,18.512628
1.166667,8,18.955434
-0.904762,5,19.265629
-0.904762,5,19.585767
-0.833333,8,20.061457
-0.833333,8,20.554132
1.071429,4,20.76257
-0.857143,7,21.180465
1.190476,9,21.656165
1.071429,4,21.867617
-0.904762,5,22.170813
1.071429,4,22.370263
-0.928571,4,22.622564
-0.809524,9,23.151163
-0.809524,9,23.682304
-0.833333,8,24.157027
-0.904762,5,24.463202
-0.904762,5,24.754447
1.071429,4,24.947903
-0.880952,6,25.312933
-0.857143,7,25.706854
-0.857143,7,26.123734
-0.833333,8,26.612417
1.071429,4,26.818861
1.071429,4,27.031289
-0.880952,6,27.379354
-0.833333,8,27.858064
-0.880952,6,28.2161
1.166667,8,28.664089
-0.857143,7,29.07099
-0.833333,8,29.571773
1.071429,4,29.78922
1.166667,8,30.21504
1.071429,4,30.424477
-0.904762,5,30.743618
-0.880952,6,31.128582
-0.928571,4,31.400848
1.214286,10,31.940412
-0.857143,7,32.374228
-0.904762,5,32.682398
-0.880952,6,33.074343
-0.880952,6,33.461302
-0.880952,6,33.825356
1.071429,4,34.018831
-0.928571,4,34.263144
-0.857143,7,34.674037
1.071429,4,34.871541
1.214286,10,35.396094
1.071429,4,35.588576
-0.761905,11,36.22586
-0.928571,4,36.469534
1.071429,4,36.663014
-0.857143,7,37.078894
-0.904762,5,37.390058
-0.857143,7,37.797985
-0.880952,6,38.144027
-0.880952,6,38.506053
-0.880952,6,38.858141
-0.857143,7,39.271993
1.071429,4,39.4914
1.071429,4,39.685877
1.071429,4,39.880355
-0.833333,8,40.359116
-0.928571,4,40.594433
-0.880952,6,40.950991
-0.928571,4,41.200894
-0.904762,5,41.508073
-0.785714,10,42.068531
1.142857,7,42.442525
1.071429,4,42.642984
-0.880952,6,42.989053
-0.809524,9,43.523512
-0.904762,5,43.818717
-0.833333,8,44.261526
-0.880952,6,44.603633
-0.809524,9,45.131186
-0.880952,6,45.491246
1.071429,4,45.693373
-0.857143,7,46.086301
1.071429,4,46.27178
1.071429,4,46.481189
-0.928571,4,46.72157
-0.857143,7,47.126451
-0.809524,9,47.645368
1.071429,4,47.834858
1.166667,8,48.237015
-0.904762,5,48.532217
1.071429,4,48.726667
-0.857143,7,49.146566
1.071429,4,49.345998
-0.833333,8,49.818753
-0.809524,9,50.322335
1.071429,4,50.523766
-0.809524,9,51.034419
-0.857143,7,51.432319
1.071429,4,51.623076
-0.880952,6,51.977128
-0.904762,5,52.27333
-0.928571,4,52.525651
1.071429,4,52.721121
-0.833333,8,53.191836
-0.833333,8,53.643609
-0.904762,5,53.949645
1.071429,4,54.135145
-0.857143,7,54.55525
1.142857,7,54.920455
-0.880952,6,55.272508
-0.857143,7,55.700382
1.166667,8,56.10645
-0.928571,4,56.347801
-0.880952,6,56.697831
1.071429,4,56.900285
-0.833333,8,57.369053
-0.857143,7,57.765675
-0.857143,7,58.170582
-0.785714,10,58.764985
-0.857143,7,59.177841
1.214286,10,59.701432
1.071429,4,59.896907
1.071429,4,60.08839
-0.833333,8,60.581064
-0.857143,7,60.99196
-0.785714,10,61.598327
-0.785714,10,62.178763
1.142857,7,62.540351
1.214286,10,63.072944
-0.857143,7,63.477342
-0.785714,10,64.05179
-0.809524,9,64.560421
-0.880952,6,64.913471
-0.904762,5,65.221641
-0.880952,6,65.581704
1.190476,9,66.046446
-0.904762,5,66.341648
-0.857143,7,66.740577
-0.904762,5,67.03877
-0.833333,8,67.497537
-0.857143,7,67.909398
-0.880952,6,68.245492
1.142857,7,68.602559
1.238095,11,69.188985
-0.809524,9,69.713541
-0.833333,8,70.188295
-0.880952,6,70.537351
-0.857143,7,70.945959
1.071429,4,71.142894
-0.880952,6,71.50492
-0.904762,5,71.79813
-0.833333,8,72.267867
-0.785714,10,72.858277
-0.928571,4,73.092647
1.071429,4,73.290114
-0.880952,6,73.645159
-0.857143,7,74.044111
1.071429,4,74.24355
-0.880952,6,74.603579
1.166667,8,75.033449
-0.880952,6,75.392456
-0.857143,7,75.796368
-0.928571,4,76.048689
-0.880952,6,76.396752
-0.857143,7,76.816622
1.071429,4,77.010105
-0.857143,7,77.41604
-0.809524,9,77.923642
-0.904762,5,78.21785
-9.809524,9,78.672626
1.142857,7,79.030662
-0.833333,8,79.487432
-0.880952,6,79.850455
1.071429,4,80.051913
-0.809524,9,80.568522
-0.833333,8,81.049229
-0.880952,6,81.440178
-0.809524,9,81.960775
1.071429,4,82.156249
1.071429,4,82.36369
1.071429,4,82.555175
1.071429,4,82.750648
-0.857143,7,83.16057
-0.809524,9,83.670713
1.071429,4,83.883112
-0.833333,8,84.319965
-0.880952,6,84.682988
-0.880952,6,85.049003
1.071429,4,85.250461
-0.857143,7,85.648387
1.071429,4,85.853807
-0.880952,6,86.19691
-0.809524,9,86.718512
1.214286,10,87.24609
-0.904762,5,87.538299
-0.809524,9,88.041732
-0.928571,4,88.273124
1.071429,4,88.469581
1.142857,7,88.819638
-0.880952,6,89.196624
-0.809524,9,89.720241
-0.880952,6,90.066284
-0.928571,4,90.303645
-0.904762,5,90.597278
-0.880952,6,90.949576
-0.904762,5,91.251729
-0.928571,4,91.495104
-0.857143,7,91.915941
-0.833333,8,92.38468
1.142857,7,92.744746
1.071429,4,92.952153
1.071429,4,93.150618
-0.928571,4,93.391968
-0.880952,6,93.752031
1.071429,4,93.956449
1.071429,4,94.143944
-0.904762,5,94.43915
1.071429,4,94.635622
1.071429,4,94.84107
-0.857143,7,95.256956
1.071429,4,95.452422
-0.880952,6,95.812482
-0.785714,10,96.371947
1.071429,4,96.576429
-0.809524,9,97.107966
-0.809524,9,97.629562
-0.880952,6,97.981616
-0.880952,6,98.335689
1.166667,8,98.764507
-0.880952,6,99.109578
1.071429,4,99.311066
-0.928571,4,99.557387
-0.761905,11,100.189671
-0.928571,4,100.428029
-0.785714,10,100.998481
-0.880952,6,101.34957
-0.809524,9,101.850354
1.071429,4,102.041839
1.285714,13,102.755923
-0.833333,8,103.217675
-0.857143,7,103.632576
1.214286,10,104.146174
-0.833333,8,104.616907
-0.880952,6,104.962976
-0.880952,6,105.320051
-0.904762,5,105.627188
-0.904762,5,105.930373
1.071429,4,106.126843
1.071429,4,106.324342
-0.857143,7,106.726259
-0.880952,6,107.075652
-0.857143,7,107.491505
-0.880952,6,107.845578
-0.785714,10,108.398164
-0.880952,6,108.754206
-0.880952,6,109.114237
-0.880952,6,109.464295
-0.785714,10,110.035756
-0.833333,8,110.493525
-0.904762,5,110.782745
-0.928571,4,111.029084
-0.880952,6,111.39612
-0.857143,7,111.799242
-0.833333,8,112.25006
-0.880952,6,112.607098
1.071429,4,112.81451
1.190476,9,113.302227
-0.928571,4,113.543579
-0.928571,4,113.78293
1.071429,4,113.970433
1.071429,4,114.171876
-0.880952,6,114.528267
-0.833333,8,114.993632
1.071429,4,115.185116
-0.928571,4,115.429458
1.071429,4,115.634905
-0.809524,9,116.134764
1.190476,9,116.603505
-0.833333,8,117.061275
1.071429,4,117.261912
-0.833333,8,117.713696
-0.880952,6,121.506126
-0.857143,7,121.920028
1.071429,4,122.117503
-0.880952,6,122.475505
1.071429,4,122.668816
-0.904762,5,122.966047
1.071429,4,123.160493
-0.833333,8,123.630228
-0.928571,4,123.879557
1.071429,4,124.067052
-0.809524,9,124.585685
-0.785714,10,125.157118
1.071429,4,125.359573
1.071429,4,125.562028
-0.904762,5,125.867226
1.071429,4,126.061683
-0.857143,7,126.479558
-0.809524,9,127.015291
1.071429,4,127.214757
-0.880952,6,127.56279
1.142857,7,127.934924
1.166667,8,128.345819
-0.880952,6,128.696873
1.166667,8,129.125752
-0.857143,7,129.533621
-0.857143,7,129.976466
-0.904762,5,130.28061
1.071429,4,130.481101
-0.833333,8,130.93086
1.071429,4,131.126354
-0.904762,5,131.425529
-0.880952,6,131.769602
1.071429,4,131.97107
-0.904762,5,132.282851
1.142857,7,132.655847
1.071429,4,132.848328
-0.904762,5,133.149518
1.071429,4,133.361946
-0.880952,6,133.713001
-0.928571,4,133.954351
-0.904762,5,134.245567
-0.857143,7,134.64948
-9.690476,14,135.416417
-0.904762,5,135.711621
-0.833333,8,136.195319
-0.880952,6,136.550364
-9.761905,11,137.111852
1.071429,4,137.310319
-0.857143,7,137.737169
-0.880952,6,138.094208
1.142857,7,138.462217
-0.785714,10,139.045647
-0.857143,7,139.473495
-0.880952,6,139.826545
-0.880952,6,140.17062
-0.833333,8,140.648335
1.166667,8,141.078184
-0.928571,4,141.330528
1.071429,4,141.524974
1.071429,4,141.728456
1.142857,7,142.084891
1.071429,4,142.274367
1.071429,4,142.464839
1.071429,4,142.662939
-0.928571,4,142.897305
-0.928571,4,143.146639
-0.904762,5,143.450788
1.071429,4,143.64991
-0.928571,4,143.888664
-0.857143,7,144.290609
1.166667,8,144.707459
-0.880952,6,145.061506
-0.785714,10,145.715745
-0.880952,6,146.050843
-0.595238,18,147.038199
-0.761905,11,147.676522
1.071429,4,147.870032
-0.785714,10,148.439469
-0.857143,7,148.856348
-0.809524,9,149.397916
-0.880952,6,149.747979
-0.857143,7,150.160866
-0.880952,6,150.504909
-0.857143,7,150.906858
-0.928571,4,151.157153
-0.928571,4,151.41269
1.071429,4,151.604174
-0.880952,6,151.956254
1.071429,4,152.15968
1.071429,4,152.367119
-0.714286,13,153.102141
-0.857143,7,153.543981
-0.809524,9,154.058566
-0.833333,8,154.515337
1.238095,11,155.106747
-0.857143,7,155.514677
-0.857143,7,155.919572
1.142857,7,156.283577
1.071429,4,156.47207
-0.833333,8,156.933827
-0.928571,4,157.179168
-0.904762,5,157.479358
-0.928571,4,157.722914
-0.809524,9,158.222561
-0.928571,4,158.46647
-0.904762,5,158.764666
1.071429,4,158.958146
1.071429,4,159.150628
-0.833333,8,159.616374
-0.785714,10,160.201798
-0.785714,10,160.780241
1.071429,4,160.979704
-0.785714,10,161.555573
1.142857,7,161.921554
1.095238,5,162.178018
-0.928571,4,162.417954
-0.833333,8,162.893673
-0.880952,6,163.245944
-0.857143,7,163.651854
-0.857143,7,164.054769
-0.833333,8,164.515528
-0.857143,7,164.911462
-0.928571,4,165.147826
-0.904762,5,165.445171
-0.880952,6,165.800245
-0.857143,7,166.210138
-0.833333,8,166.674893
-0.761905,11,167.286217
-0.833333,8,167.76096
-0.857143,7,168.147923
-0.880952,6,168.506931
-0.904762,5,168.807123
-0.857143,7,169.215056
-0.833333,8,169.72276
-0.785714,10,170.286217
-0.833333,8,170.743164
-0.833333,8,171.209882
-0.857143,7,171.616819
1.071429,4,171.811297
-0.809524,9,172.314256
1.071429,4,172.518705
-0.809524,9,173.044292
-0.833333,8,173.559903
-0.833333,8,174.016675
1.071429,4,174.217134
-0.809524,9,174.73873
1.142857,7,175.098761
-0.904762,5,175.415909
1.071429,4,175.609386
-0.833333,8,176.069149
-0.880952,6,176.417212
1.071429,4,176.612686
1.071429,4,176.807163
-0.904762,5,177.092394
1.261905,12,177.722592
-0.809524,9,178.225459
-0.857143,7,178.63198
-0.833333,8,179.085727
-0.857143,7,179.495832
-0.857143,7,179.893762
-0.857143,7,180.288699
-0.904762,5,180.583903
-0.880952,6,180.930969
-0.857143,7,181.341864
-0.928571,4,181.590195
-0.809524,9,182.10082
-0.857143,7,182.501741
-0.857143,7,182.909643
-0.833333,8,183.392345
-0.880952,6,183.756364
-0.833333,8,184.195183
1.071429,4,184.388662
1.071429,4,184.580176
-0.833333,8,185.047916
-0.904762,5,185.345087
1.071429,4,185.540561
-0.833333,8,185.993342
-0.833333,8,186.454134
1.071429,4,186.64459
1.071429,4,186.842058
-0.928571,4,187.09438
-0.904762,5,187.408533
-0.809524,9,187.920187
-0.857143,7,188.310462
1.071429,4,188.50095
-0.928571,4,188.741171
1.071429,4,188.935647
-0.904762,5,189.230853
-0.928571,4,189.473227
-0.809524,9,189.986818
1.095238,5,190.232157
1.071429,4,190.425637
-0.928571,4,190.66599
1.166667,8,191.089849
-0.833333,8,191.561609
1.071429,4,191.749105
1.071429,4,191.942553
1.071429,4,192.132044
1.071429,4,192.329512
1.071429,4,192.531997
-0.833333,8,192.998225
-0.857143,7,193.420773
-9.809524,9,193.877546
1.071429,4,194.074018
-0.761905,11,194.694351
-0.880952,6,195.073334
1.071429,4,195.298727
1.214286,10,195.836587
-0.857143,7,196.236538
-0.857143,7,196.643445
-0.857143,7,197.057344
1.071429,4,197.262824
1.214286,10,197.780402
-0.809524,9,198.306987
-0.833333,8,198.777722
-0.928571,4,199.023063
-0.880952,6,199.376145
1.071429,4,199.587549
-0.928571,4,199.83092
1.071429,4,200.024316
1.166667,8,200.428848
1.142857,7,200.798854
-0.857143,7,201.224739
-0.904762,5,201.515927
-0.880952,6,201.861
-0.857143,7,202.260926
-0.904762,5,202.558127
1.071429,4,202.753602
-0.833333,8,203.210375
-0.833333,8,203.678348
1.071429,4,203.878804
-0.880952,6,204.217899
-0.857143,7,204.622783
-0.785714,10,205.193184
-0.928571,4,205.44052
1.142857,7,205.798558
-0.880952,6,206.139641
-0.833333,8,206.618358
1.071429,4,206.815825
-0.833333,8,207.277585
1.071429,4,207.472062
1.071429,4,207.669532
1.071429,4,207.877973
1.071429,4,208.077435
-0.928571,4,208.308814
-0.857143,7,208.737662
-0.785714,10,209.310124
-0.880952,6,209.673148
-0.785714,10,210.233677
-0.880952,6,210.581707
-0.857143,7,210.980635
-0.857143,7,211.394553
-0.904762,5,211.68376
1.214286,10,212.194738
1.142857,7,212.561752
-0.880952,6,212.914804
1.071429,4,213.120252
1.166667,8,213.555111
-0.928571,4,213.797432
-0.785714,10,214.378
-0.857143,7,214.801315
1.071429,4,214.996804
1.071429,4,215.193272
-0.880952,6,215.547481
-0.928571,4,215.78811
1.071429,4,215.989603
1.071429,4,216.189033
1.071429,4,216.389267
1.071429,4,216.580779
-0.857143,7,216.986901
-0.833333,8,217.446635
-0.833333,8,217.908394
-0.904762,5,218.194625
-0.928571,4,218.43099
1.142857,7,218.788365
-0.809524,9,219.307993
-0.833333,8,219.757785
-0.928571,4,219.99415
-0.857143,7,220.40103
-0.880952,6,220.752087
1.071429,4,220.949589
-0.809524,9,221.465483
-0.880952,6,221.811553
1.190476,9,222.281291
-0.904762,5,222.577495
1.166667,8,222.997367
1.119048,6,223.306536
-0.809524,9,223.835118
-0.809524,9,224.342788
1.071429,4,224.533241
1.071429,4,224.733704
1.071429,4,224.931172
-0.928571,4,225.182496
-0.785714,10,225.764931
-0.809524,9,226.300503
-0.928571,4,226.548859
-0.928571,4,226.802145
1.166667,8,227.235981
1.071429,4,227.429459
-0.928571,4,227.667819
-0.785714,10,228.239284
-0.833333,8,228.71272
-0.761905,11,229.362797
1.071429,4,229.57226
-0.880952,6,229.924464
-0.785714,10,230.496895
-0.928571,4,230.741272
1.071429,4,230.933723
-0.809524,9,231.456345
-0.833333,8,231.921276
1.166667,8,232.341178
1.071429,4,232.541639
-0.880952,6,232.892666
-0.833333,8,233.354426
1.071429,4,233.5509
1.071429,4,233.753381
-0.857143,7,234.153279
-0.880952,6,234.50836
-0.904762,5,234.808521
1.071429,4,235.001002
-0.928571,4,235.243351
1.071429,4,235.503652
-9.690476,14,236.321454
-0.904762,5,236.649573
-0.809524,9,240.604858
1.166667,8,241.030715
-0.833333,8,241.491505
-0.928571,4,241.733826
1.071429,4,241.93831
-0.928571,4,242.1896
1.119048,6,242.488796
1.071429,4,242.688282
1.071429,4,242.891747
-0.857143,7,243.309591
-0.857143,7,243.715514
-0.761905,11,244.319878
1.071429,4,244.521336
1.071429,4,244.714846
-0.857143,7,245.120726
-0.880952,6,245.473964
-0.857143,7,245.894105
-0.833333,8,246.361848
1.142857,7,246.729879
1.238095,11,247.324068
1.166667,8,247.742922
1.166667,8,248.165787
-0.904762,5,248.475981
-0.833333,8,248.927738
-0.833333,8,249.41842
-0.880952,6,249.823332
-0.857143,7,250.294097
-0.880952,6,250.677038
-0.785714,10,251.384156
-0.904762,5,251.674359
-0.785714,10,252.255797
-0.857143,7,252.667708
-0.857143,7,253.077589
-0.785714,10,253.678983
-0.857143,7,254.087874
-0.880952,6,254.44292
1.071429,4,254.645376
-0.880952,6,255.002417
-0.928571,4,255.25474
-0.904762,5,255.546955
-0.880952,6,255.896045
-0.904762,5,256.198213
1.071429,4,256.38972
-0.857143,7,256.7956
-0.880952,6,257.168598
-0.857143,7,257.599447
-0.833333,8,258.061814
-0.904762,5,258.363005
-0.880952,6,258.717054
1.071429,4,258.920507
-0.761905,11,259.566772
-0.880952,6,259.932787
-0.880952,6,260.275866
-0.880952,6,260.646871
-0.880952,6,260.990945
-0.880952,6,261.34602
1.071429,4,261.544459
1.071429,4,261.749906
1.071429,4,261.947403
-0.928571,4,262.185735
