#{"t_start": 1618262887.9254274, "env_id": null}
r,l,t
-0.904762,5,96.073706
-0.928571,4,96.308479
-0.857143,7,96.725634
-0.880952,6,97.069282
-0.833333,8,97.529677
-0.880952,6,97.895698
-0.880952,6,98.248781
-0.880952,6,98.593831
-0.785714,10,99.172312
-0.833333,8,99.634051
-0.880952,6,99.991783
-0.880952,6,100.344659
-0.928571,4,100.586012
-0.880952,6,100.928075
-0.833333,8,101.400803
-0.857143,7,101.808726
-0.928571,4,102.052061
-0.857143,7,102.457009
-0.880952,6,102.788124
-0.833333,8,103.246898
-0.928571,4,103.48822
-0.809524,9,103.999852
-0.833333,8,104.457628
-0.809524,9,104.955407
-0.880952,6,105.31647
-0.761905,11,105.938777
-0.880952,6,106.299813
1.071429,4,106.495321
-0.928571,4,106.732654
1.071429,4,106.932121
-0.785714,10,107.540576
-0.880952,6,107.916601
-0.880952,6,108.278605
-0.928571,4,108.514007
-0.880952,6,108.856084
1.190476,9,109.335778
-0.880952,6,109.696837
-0.904762,5,109.998005
-0.809524,9,110.532604
-0.880952,6,110.885149
-0.880952,6,111.233248
1.095238,5,111.489559
-0.928571,4,111.736903
-0.904762,5,112.041091
-0.809524,9,112.554713
-0.833333,8,113.016132
-0.904762,5,113.347217
1.190476,9,113.862838
-0.833333,8,114.328625
-0.833333,8,114.773406
-0.833333,8,115.244146
-0.833333,8,115.725857
-0.928571,4,115.980175
-0.904762,5,116.275387
-0.880952,6,116.637448
-0.904762,5,116.95856
-0.833333,8,117.417332
-0.880952,6,117.774379
-0.857143,7,118.19326
-0.857143,7,118.589199
-0.928571,4,118.821578
-0.857143,7,119.221537
-0.809524,9,119.753087
-0.880952,6,120.0972
-0.809524,9,120.60082
-9.690476,14,121.360789
-0.833333,8,121.949214
-0.928571,4,122.226474
-0.833333,8,122.68854
-0.809524,9,123.342761
-0.880952,6,123.701601
-0.857143,7,124.112393
-0.880952,6,124.461489
1.190476,9,124.941191
-0.857143,7,125.349086
-0.880952,6,125.706131
-0.809524,9,126.218786
-0.904762,5,126.514003
-0.880952,6,126.852067
-0.833333,8,127.331156
-0.928571,4,127.566322
-0.904762,5,127.862532
-0.904762,5,128.162452
-0.904762,5,128.454645
-0.880952,6,128.799755
-0.928571,4,129.055071
-0.833333,8,129.524783
-0.928571,4,129.765139
-0.928571,4,130.018462
-0.880952,6,130.395454
-0.928571,4,130.654762
-0.928571,4,130.923072
-0.904762,5,131.23424
-0.904762,5,131.549397
-0.833333,8,132.067981
-0.904762,5,132.413074
-0.833333,8,133.034399
-0.857143,7,133.513117
1.071429,4,133.711586
-0.880952,6,134.078865
-0.785714,10,134.676539
-0.904762,5,134.985682
-0.857143,7,135.422514
-0.833333,8,135.911209
-0.738095,12,136.606348
-0.857143,7,137.028253
-0.880952,6,137.417179
-0.928571,4,137.661526
-0.857143,7,138.085394
-0.928571,4,138.328742
-0.857143,7,138.739678
-0.857143,7,139.139131
-0.928571,4,139.387489
-0.880952,6,139.760828
-0.857143,7,140.178741
-0.833333,8,140.630503
-0.880952,6,140.989544
-0.928571,4,141.266829
-0.880952,6,141.627836
-0.880952,6,142.009041
-0.857143,7,142.444868
-0.880952,6,142.799937
-0.809524,9,143.326503
-0.833333,8,143.808226
-0.857143,7,144.220145
-0.785714,10,144.821106
-0.880952,6,145.191116
-0.880952,6,145.559169
-0.833333,8,146.041855
-0.904762,5,146.336084
-0.833333,8,146.789841
-0.904762,5,147.094028
-0.928571,4,147.340369
-0.857143,7,147.761245
-0.928571,4,148.03754
-0.833333,8,148.520214
-0.880952,6,148.878284
-0.928571,4,149.127619
-0.880952,6,149.496603
-0.928571,4,149.745964
-0.857143,7,150.162822
-0.880952,6,150.522893
-0.928571,4,150.777205
-0.833333,8,151.265447
-0.880952,6,151.644409
-0.809524,9,152.242835
-0.880952,6,152.622821
-0.880952,6,152.988814
-0.928571,4,153.261106
1.166667,8,153.701934
-0.857143,7,154.117824
-0.809524,9,154.668321
-0.904762,5,154.974981
1.214286,10,155.520509
-0.880952,6,155.875561
-0.809524,9,156.393204
-0.928571,4,156.62356
1.071429,4,156.826019
